feature,category,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
tqwt_kurtosisValue_dec_32,TQWT,0.0040505338,0.0031521039,77.0,14.632934465751802,252,0,False,False
b1,Formant / Bandwidth,0.004046076,0.0041917055,78.0,202.34083173933368,252,0,False,False
tqwt_skewnessValue_dec_10,TQWT,0.004036023,0.0027421569,79.0,0.10140951294896586,252,0,False,False
std_MFCC_3rd_coef,MFCC,0.003903227,0.0038178714,80.0,0.14288122568917566,251,0,False,False
tqwt_kurtosisValue_dec_26,TQWT,0.003884222,0.0041891765,81.0,38.412282103906236,250,0,False,False
tqwt_entropy_log_dec_32,TQWT,0.0038761008,0.0060805017,82.0,1026.2157738335552,252,0,False,False
tqwt_meanValue_dec_13,TQWT,0.0038254368,0.002249242,83.0,1.5362947138834184e-19,252,0,False,True
mean_MFCC_3rd_coef,MFCC,0.003792196,0.004315786,84.0,1.5857431583700954,251,0,False,False
tqwt_minValue_dec_21,TQWT,0.0037641532,0.0052038045,85.0,0.23577669980740407,252,0,False,False
tqwt_medianValue_dec_11,TQWT,0.0037540675,0.00237474,86.0,5.4086610324211245e-05,252,0,False,False
mean_11th_delta_delta,Delta / Delta-delta,0.0036988307,0.0022247063,87.0,0.00019327318731351015,252,0,False,False
tqwt_minValue_dec_17,TQWT,0.0036863382,0.0040498152,88.0,0.3437270452153111,252,0,False,False
tqwt_TKEO_std_dec_26,TQWT,0.003679949,0.006731513,89.0,0.21113898491482394,252,0,False,False
tqwt_maxValue_dec_21,TQWT,0.0036540658,0.0034017914,90.0,0.2368504859854458,252,0,False,False
IMF_SNR_SEO,Other,0.0036402256,0.0024779553,91.0,109.66880282630231,252,0,False,False
mean_delta_delta_0th,Delta / Delta-delta,0.003604409,0.0022767785,92.0,0.0006857172709620739,252,0,False,False
tqwt_skewnessValue_dec_35,TQWT,0.0035946001,0.003550951,93.0,0.8513657077666263,252,0,False,False
tqwt_skewnessValue_dec_8,TQWT,0.0035183765,0.0025812704,94.0,0.021672094071865215,252,0,False,False
tqwt_stdValue_dec_4,TQWT,0.0035124558,0.00785409,95.0,0.0035587671090290553,252,0,False,False
tqwt_meanValue_dec_14,TQWT,0.0034967412,0.0034025868,96.0,2.486242985627415e-19,252,0,False,True
tqwt_meanValue_dec_18,TQWT,0.0034623314,0.0019973859,97.0,6.511300175078883e-19,252,0,False,True
tqwt_medianValue_dec_36,TQWT,0.0034184246,0.00764383,98.0,0.0073888910563004425,251,0,False,False
tqwt_TKEO_mean_dec_4,TQWT,0.0034096998,0.0076243207,99.0,0.00012851691735223445,251,0,False,False
locPctJitter,Jitter,0.0033942908,0.0044433093,100.0,0.002380158862540476,226,0,False,False
tqwt_skewnessValue_dec_12,TQWT,0.0033361255,0.002265592,101.0,0.02358430477211904,252,0,False,False
tqwt_kurtosisValue_dec_23,TQWT,0.0033133477,0.0051422566,102.0,1.1538764671335853,251,0,False,False
std_MFCC_6th_coef,MFCC,0.00331152,0.004614232,103.0,0.10618404146703034,251,0,False,False
tqwt_medianValue_dec_1,TQWT,0.0033086736,0.0037196225,104.0,1.4706389855037521e-06,250,0,False,False
tqwt_energy_dec_7,TQWT,0.003286356,0.0034639246,105.0,0.002136437650228028,251,0,False,False
tqwt_entropy_shannon_dec_26,TQWT,0.0032555144,0.003055064,106.0,353.94443739562166,252,0,False,False
tqwt_meanValue_dec_25,TQWT,0.0032476753,0.004483772,107.0,5.360888726834538e-19,249,0,False,True
tqwt_medianValue_dec_10,TQWT,0.003213555,0.0018697081,108.0,4.833456965949474e-05,251,0,False,False
tqwt_energy_dec_17,TQWT,0.0031336383,0.0034077705,109.0,0.07676854211793127,252,0,False,False
std_Log_energy,Other,0.0031243502,0.0043882146,110.0,0.2700060997565047,252,0,False,False
tqwt_TKEO_std_dec_11,TQWT,0.0030997638,0.0042566257,111.0,0.0016180764896734144,252,0,False,False
tqwt_skewnessValue_dec_36,TQWT,0.003083951,0.002958817,112.0,2.7218008265388325,252,0,False,False
tqwt_skewnessValue_dec_27,TQWT,0.0030218484,0.003320998,113.0,0.9634290935928078,252,0,False,False
tqwt_kurtosisValue_dec_17,TQWT,0.003020064,0.0026501918,114.0,1.0193442846923284,252,0,False,False
tqwt_medianValue_dec_17,TQWT,0.0030166884,0.002137144,115.0,0.0006173277965498204,178,0,False,False
VFER_SNR_TKEO,Other,0.0029748676,0.0066520064,116.0,114.67886308413287,252,0,False,False
det_entropy_log_6_coef,Wavelet,0.0028904916,0.0043906164,117.0,28.765991019213732,252,0,False,False
tqwt_entropy_log_dec_4,TQWT,0.002874463,0.0039999303,118.0,203562.84882487037,252,0,False,False
tqwt_medianValue_dec_12,TQWT,0.0027963105,0.0028675233,119.0,4.1909526755997594e-05,252,0,False,False
tqwt_skewnessValue_dec_28,TQWT,0.0027852722,0.0026005306,120.0,1.0961963285777472,252,0,False,False
