feature,category,tree_importance_mean,tree_importance_std,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
IMF_SNR_SEO,Other,0.0010092276981343354,0.00030979846650734807,109.66880282630231,252,0,False,False
tqwt_skewnessValue_dec_13,TQWT,0.0010073332663460058,0.00013061780103729734,0.007929870269305651,252,0,False,False
tqwt_TKEO_std_dec_17,TQWT,0.0010062160843425849,0.000145369382511345,0.09026884386726046,252,0,False,False
tqwt_medianValue_dec_32,TQWT,0.0009976004934109362,0.00027186910373281546,0.0012275319020599394,252,0,False,False
tqwt_maxValue_dec_25,TQWT,0.0009960254428234214,0.00024650244842986,0.5277268211376133,252,0,False,False
tqwt_TKEO_mean_dec_21,TQWT,0.0009951989109882905,0.0003321013897276137,0.11634433920601023,252,0,False,False
tqwt_maxValue_dec_35,TQWT,0.0009929954170484726,0.00042463229722255997,0.13238998519483441,252,0,False,False
rapJitter,Jitter,0.0009923612982203965,0.00045850196218223574,0.000883847547080086,184,0,False,False
tqwt_entropy_log_dec_3,TQWT,0.0009912919353289786,0.0002725738303909484,229195.11805249334,252,0,False,False
tqwt_TKEO_std_dec_21,TQWT,0.000989642748607273,0.00015049024981112898,0.05441643078724491,252,0,False,False
tqwt_medianValue_dec_26,TQWT,0.0009884135883139534,0.00034498079644233655,0.0017420856701271903,250,0,False,False
IMF_NSR_entropy,Wavelet,0.000986597051550206,0.00017647472752237774,0.02912606145490033,252,0,False,False
tqwt_entropy_log_dec_23,TQWT,0.0009847281014189705,0.00032146295445735495,3979.736865453828,252,0,False,False
tqwt_skewnessValue_dec_4,TQWT,0.0009847143470728937,0.0003795777355757224,1.0962446513904507,252,0,False,False
tqwt_stdValue_dec_21,TQWT,0.0009836098423107382,0.00032046327507621007,0.11048663324089185,251,0,False,False
mean_2nd_delta_delta,Delta / Delta-delta,0.0009836075957516065,0.00024971712764254887,0.00034178198723201607,252,0,False,False
tqwt_skewnessValue_dec_22,TQWT,0.0009822866369043764,0.0003345454205426045,0.008884794798969128,252,0,False,False
tqwt_stdValue_dec_3,TQWT,0.0009814763768238482,0.00010173804558131098,0.0024958690351079647,252,0,False,False
tqwt_maxValue_dec_31,TQWT,0.0009807179490537781,0.0002958006452851507,0.1340936665452359,252,0,False,False
tqwt_entropy_log_dec_36,TQWT,0.0009778049473557373,0.0002408748894579273,868.3082300183194,252,0,False,False
tqwt_entropy_shannon_dec_26,TQWT,0.0009769104836633313,0.0003676152635282525,353.94443739562166,252,0,False,False
b2,Formant / Bandwidth,0.0009767180911764272,0.00017555928488731314,285.8383861835082,252,0,False,False
tqwt_entropy_shannon_dec_20,TQWT,0.0009749477949050307,0.0002393686257415615,206.1696031960179,252,0,False,False
tqwt_TKEO_std_dec_1,TQWT,0.0009718821551051653,0.0002595415205716899,4.689207066773516e-05,251,0,False,False
tqwt_TKEO_mean_dec_25,TQWT,0.0009718450092812197,0.0003169690151812688,0.5619322041280519,252,0,False,False
tqwt_TKEO_mean_dec_1,TQWT,0.0009712406302942262,0.00023936165956646077,1.7259640328283468e-05,246,0,False,False
app_LT_entropy_log_5_coef,Wavelet,0.0009690676522507343,0.0004524967132547396,2.6702415358790104,252,0,False,False
tqwt_minValue_dec_21,TQWT,0.0009676970633466078,0.00016767555146000981,0.23577669980740407,252,0,False,False
GQ_std_cycle_closed,Other,0.000966790691069889,0.00028205560358685923,5.317963214236612,161,0,False,False
mean_5th_delta_delta,Delta / Delta-delta,0.0009665868451224566,0.00024407819928938765,0.0002525407703179635,252,0,False,False
mean_MFCC_7th_coef,MFCC,0.0009659961715168636,0.0002625885491104032,0.7733665997897692,252,0,False,False
f3,Formant / Bandwidth,0.0009655710019006957,0.00020917631432374348,355.29676959190823,252,0,False,False
tqwt_TKEO_mean_dec_23,TQWT,0.0009641349284743421,0.00045115795205891786,0.17006966234367005,252,0,False,False
tqwt_stdValue_dec_4,TQWT,0.0009641246107578407,0.00024429177888117245,0.0035587671090290553,252,0,False,False
tqwt_kurtosisValue_dec_5,TQWT,0.0009637631730308448,0.00044199948882485526,1112.5660374808938,252,0,False,False
det_entropy_log_3_coef,Wavelet,0.0009627549171517636,0.00010128129766446774,57.8576521091395,252,0,False,False
mean_7th_delta_delta,Delta / Delta-delta,0.0009573049983482923,0.00032115659114262553,0.00028836440199808374,252,0,False,False
tqwt_energy_dec_2,TQWT,0.0009553458858772453,0.00023479761519900743,0.0025221809312868846,250,0,False,False
tqwt_kurtosisValue_dec_11,TQWT,0.0009551332555303545,0.00037277460583972873,24.007348281068058,252,0,False,False
ddpJitter,Jitter,0.0009546662505527405,0.0002478053349370337,0.0026516360851890825,212,0,False,False
tqwt_TKEO_mean_dec_27,TQWT,0.0009530498900954552,0.00022051041617232426,0.878890019549485,252,0,False,False
std_delta_delta_0th,Delta / Delta-delta,0.0009529077458859177,0.00025750405321337314,0.019981523102260687,252,0,False,False
tqwt_skewnessValue_dec_16,TQWT,0.0009507402500308467,0.00020202221003706223,0.007078873768756404,251,0,False,False
tqwt_maxValue_dec_36,TQWT,0.0009506453751276194,0.00037273899639027867,0.3344106425254753,252,0,False,False
tqwt_entropy_shannon_dec_3,TQWT,0.0009428806601516536,0.00027086790798957263,18.22263242020154,252,0,False,False
tqwt_TKEO_std_dec_2,TQWT,0.0009349665054081989,0.00017346409579019188,7.13349332410746e-05,250,0,False,False
mean_delta_delta_log_energy,Delta / Delta-delta,0.000934704706397918,0.00031393888199753966,0.00029097370415902447,252,0,False,False
tqwt_TKEO_std_dec_31,TQWT,0.0009311370647183692,0.0003320674514007939,0.024452318455010245,252,0,False,False
mean_8th_delta_delta,Delta / Delta-delta,0.0009305766449799697,0.00018943455132366415,0.00020534225606019718,252,0,False,False
tqwt_kurtosisValue_dec_32,TQWT,0.0009297098413120748,0.00020973028433627145,14.632934465751802,252,0,False,False
IMF_NSR_SEO,Other,0.0009292434933800189,0.00037120483092361976,0.05640868112074922,252,0,False,False
tqwt_medianValue_dec_4,TQWT,0.0009285661588387468,0.0003048244947747602,4.343657932392675e-06,250,0,False,False
tqwt_minValue_dec_31,TQWT,0.0009280592602698787,0.0002016640224451289,0.1359808823524721,252,0,False,False
tqwt_energy_dec_1,TQWT,0.000924784870610164,0.00014709053738509677,0.0027700650137281713,247,0,False,False
tqwt_stdValue_dec_29,TQWT,0.0009236437891507445,0.00014173319470265984,0.14264748154801826,252,0,False,False
tqwt_energy_dec_4,TQWT,0.0009231814081574917,0.00026051464978683463,0.0036736089844870926,250,0,False,False
mean_MFCC_4th_coef,MFCC,0.0009231173852985747,0.00027283490378620507,1.2302859377972768,252,0,False,False
tqwt_medianValue_dec_13,TQWT,0.0009227299887673122,0.00019691091853502062,0.00010194166317496506,251,0,False,False
tqwt_stdValue_dec_20,TQWT,0.0009206329544490868,0.00011423399571387394,0.10386513971731084,252,0,False,False
tqwt_maxValue_dec_15,TQWT,0.000917615476506327,0.00016309871122571615,0.24947376123586082,251,0,False,False
tqwt_kurtosisValue_dec_24,TQWT,0.0009150730879440433,0.0002256386696150656,3.7114696253660697,249,0,False,False
tqwt_minValue_dec_28,TQWT,0.0009120001670490397,0.00024158428566024357,0.4198789368158636,252,0,False,False
tqwt_kurtosisValue_dec_14,TQWT,0.00090971142867813,0.00022338069485207659,2.0597153892034994,251,0,False,False
tqwt_entropy_shannon_dec_28,TQWT,0.0009088609151108671,0.000267521175955332,228.5697437098619,252,0,False,False
tqwt_maxValue_dec_3,TQWT,0.0009073762642107999,0.00022616247879516443,0.022590035115940946,252,0,False,False
mean_MFCC_12th_coef,MFCC,0.0009065986425831592,0.00013863894841510295,0.5793492607840585,252,0,False,False
