dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,1,fold,48,16,0.8958333333333334,0.8958333333333333,0.9288194444444445,0.7916666666666666,1.0,1.0,0.7916666666666666,0.8837209302325582
dataset2,Dataset 2,acoustic_only,Logistic Regression,2,fold,48,16,0.75,0.75,0.9027777777777777,0.7083333333333334,0.7916666666666666,0.7727272727272727,0.7083333333333334,0.7391304347826086
dataset2,Dataset 2,acoustic_only,SVM-RBF,2,fold,48,16,0.8333333333333334,0.8333333333333334,0.8836805555555555,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
dataset2,Dataset 2,acoustic_only,Random Forest,2,fold,48,16,0.7916666666666666,0.7916666666666667,0.8559027777777778,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,2,fold,48,16,0.6666666666666666,0.6666666666666667,0.8333333333333334,0.5,0.8333333333333334,0.75,0.5,0.6
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,2,fold,48,16,0.7916666666666666,0.7916666666666667,0.8350694444444444,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,2,fold,48,16,0.7916666666666666,0.7916666666666667,0.8559027777777778,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174
dataset2,Dataset 2,acoustic_only,Logistic Regression,3,fold,48,16,0.75,0.75,0.8350694444444444,0.75,0.75,0.75,0.75,0.75
dataset2,Dataset 2,acoustic_only,SVM-RBF,3,fold,48,16,0.7291666666666666,0.7291666666666667,0.7760416666666667,0.7083333333333334,0.75,0.7391304347826086,0.7083333333333334,0.723404255319149
dataset2,Dataset 2,acoustic_only,Random Forest,3,fold,48,16,0.75,0.75,0.8029513888888888,0.7083333333333334,0.7916666666666666,0.7727272727272727,0.7083333333333334,0.7391304347826086
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,3,fold,48,16,0.75,0.75,0.8750000000000001,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,3,fold,48,16,0.7291666666666666,0.7291666666666667,0.7864583333333333,0.7083333333333334,0.75,0.7391304347826086,0.7083333333333334,0.723404255319149
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,3,fold,48,16,0.7291666666666666,0.7291666666666667,0.8237847222222222,0.7083333333333334,0.75,0.7391304347826086,0.7083333333333334,0.723404255319149
dataset2,Dataset 2,acoustic_only,Logistic Regression,4,fold,48,16,0.6875,0.6875,0.7899305555555556,0.5833333333333334,0.7916666666666666,0.7368421052631579,0.5833333333333334,0.6511627906976745
dataset2,Dataset 2,acoustic_only,SVM-RBF,4,fold,48,16,0.7916666666666666,0.7916666666666666,0.826388888888889,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
dataset2,Dataset 2,acoustic_only,Random Forest,4,fold,48,16,0.7291666666666666,0.7291666666666667,0.7899305555555555,0.75,0.7083333333333334,0.72,0.75,0.7346938775510204
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,4,fold,48,16,0.7708333333333334,0.7708333333333334,0.8350694444444445,0.7083333333333334,0.8333333333333334,0.8095238095238095,0.7083333333333334,0.7555555555555555
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,4,fold,48,16,0.8333333333333334,0.8333333333333333,0.8454861111111112,0.7916666666666666,0.875,0.8636363636363636,0.7916666666666666,0.8260869565217391
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,4,fold,48,16,0.7291666666666666,0.7291666666666667,0.7977430555555556,0.75,0.7083333333333334,0.72,0.75,0.7346938775510204
dataset2,Dataset 2,acoustic_only,Logistic Regression,5,fold,48,16,0.75,0.75,0.7916666666666667,0.7083333333333334,0.7916666666666666,0.7727272727272727,0.7083333333333334,0.7391304347826086
dataset2,Dataset 2,acoustic_only,SVM-RBF,5,fold,48,16,0.7708333333333334,0.7708333333333333,0.8003472222222222,0.75,0.7916666666666666,0.782608695652174,0.75,0.7659574468085106
dataset2,Dataset 2,acoustic_only,Random Forest,5,fold,48,16,0.7708333333333334,0.7708333333333334,0.7864583333333334,0.7083333333333334,0.8333333333333334,0.8095238095238095,0.7083333333333334,0.7555555555555555
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,5,fold,48,16,0.7708333333333334,0.7708333333333333,0.7881944444444444,0.75,0.7916666666666666,0.782608695652174,0.75,0.7659574468085106
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,5,fold,48,16,0.75,0.75,0.795138888888889,0.7083333333333334,0.7916666666666666,0.7727272727272727,0.7083333333333334,0.7391304347826086
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,5,fold,48,16,0.75,0.75,0.7847222222222222,0.7083333333333334,0.7916666666666666,0.7727272727272727,0.7083333333333334,0.7391304347826086
dataset1,Dataset 1,acoustic_only,Logistic Regression,,mean,,,0.7838548331613346,0.7002603379058898,0.7919015769737707,0.8701787954698993,0.5303418803418805,0.8448632501930853,0.8701787954698993,0.8570302275146788
dataset1,Dataset 1,acoustic_only,Logistic Regression,,std,,,0.03786326388754003,0.04773016485789741,0.0377615106789823,0.038851214667018324,0.08024066182652462,0.023540467151587998,0.038851214667018324,0.026504798180801394
dataset1,Dataset 1,acoustic_only,Random Forest,,mean,,,0.8141988304093566,0.6819597453854558,0.8405482127536157,0.951526328377749,0.41239316239316237,0.8259720492136683,0.951526328377749,0.8841563040486069
dataset1,Dataset 1,acoustic_only,Random Forest,,std,,,0.07453457148210482,0.09856416419699117,0.055848929709920406,0.0484383231922073,0.15796076562629247,0.04713879890218367,0.0484383231922073,0.046458416467787166
dataset1,Dataset 1,acoustic_only,SVM-RBF,,mean,,,0.8222779497764018,0.730608929304784,0.8105876943906754,0.9159187133104225,0.5452991452991452,0.8556322062564783,0.9159187133104225,0.8842134458867037
dataset1,Dataset 1,acoustic_only,SVM-RBF,,std,,,0.05090339563888727,0.05630642104223118,0.06553921337204487,0.05714264404287553,0.09771290657796787,0.02708768099867547,0.05714264404287553,0.03581639900381017
