feature_set,representation,method,k,candidate_id,n_subjects,n_features_original,n_components_after_transform,pca_explained_variance_sum,cluster_sizes,min_cluster_size,max_cluster_size,min_cluster_ratio,max_cluster_ratio,size_imbalance_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,stability_ari_std,stability_n_runs,eligible_for_recommendation,exclusion_or_warning,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm
all_acoustic,pca_20,KMeans,6,all_acoustic|pca_20|KMeans|k6,188,752,20,0.7114864385429738,0:36;1:24;2:1;3:58;4:58;5:11,1,58,0.005319148936170213,0.30851063829787234,58.0,0.005319148936170213,0.1413282660341528,23.308819933792922,1.5766996574450138,0.6634282915382238,0.1345795597488383,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_20,GaussianMixture,6,all_acoustic|pca_20|GaussianMixture|k6,188,752,20,0.7114864385429738,0:6;1:39;2:44;3:25;4:9;5:65,6,65,0.031914893617021274,0.34574468085106386,10.833333333333334,0.031914893617021274,0.16066449974998293,20.989116724064544,1.6931298138903876,0.48807950414017937,0.12713349312211072,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_20,AgglomerativeClustering,6,all_acoustic|pca_20|AgglomerativeClustering|k6,188,752,20,0.7114864385429738,0:2;1:17;2:33;3:66;4:16;5:54,2,66,0.010638297872340425,0.35106382978723405,33.0,0.010638297872340425,0.13102004953654367,22.27594955598862,1.6571342884714857,0.63802967738952,0.11263620707786838,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_90,KMeans,6,all_acoustic|pca_90|KMeans|k6,188,752,63,0.9000670383580756,0:38;1:57;2:12;3:21;4:59;5:1,1,59,0.005319148936170213,0.31382978723404253,59.0,0.005319148936170213,0.08641793531390583,16.436670473364657,1.8853675001568853,0.6504623847428134,0.12543143678527388,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
all_acoustic,pca_90,GaussianMixture,6,all_acoustic|pca_90|GaussianMixture|k6,188,752,63,0.9000670383580756,0:14;1:22;2:27;3:60;4:24;5:41,14,60,0.07446808510638298,0.3191489361702128,4.285714285714286,0.07446808510638298,0.08981437330076078,14.21867179608185,2.399116692356158,0.4681966221054675,0.10599623622880494,50,True,,0.0,0.0,0.0,1.0,0.44680851063829785
all_acoustic,pca_90,AgglomerativeClustering,6,all_acoustic|pca_90|AgglomerativeClustering|k6,188,752,63,0.9000670383580756,0:2;1:65;2:73;3:12;4:25;5:11,2,73,0.010638297872340425,0.3882978723404255,36.5,0.010638297872340425,0.07938098837173414,15.50819639406486,1.9597764510427151,0.6112870628401839,0.10799598005573603,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_10,KMeans,6,pd_corr_reduced_all_090|pca_10|KMeans|k6,188,310,10,0.3789779953981781,0:62;1:40;2:49;3:1;4:1;5:35,1,62,0.005319148936170213,0.32978723404255317,62.0,0.005319148936170213,0.14733275361359768,26.765023554856437,1.324902268706578,0.585331261366545,0.14636543923062517,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_10,GaussianMixture,6,pd_corr_reduced_all_090|pca_10|GaussianMixture|k6,188,310,10,0.3789779953981781,0:33;1:98;2:12;3:1;4:43;5:1,1,98,0.005319148936170213,0.5212765957446809,98.0,0.005319148936170213,0.10143287473291095,17.108231523903964,1.6165382886802524,0.3001801395216906,0.11287329690033997,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_10,AgglomerativeClustering,6,pd_corr_reduced_all_090|pca_10|AgglomerativeClustering|k6,188,310,10,0.3789779953981781,0:59;1:39;2:1;3:58;4:30;5:1,1,59,0.005319148936170213,0.31382978723404253,59.0,0.005319148936170213,0.09086729865382183,23.63138418269608,1.3797666672182565,0.4572330527730532,0.08605899788893777,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_20,KMeans,6,pd_corr_reduced_all_090|pca_20|KMeans|k6,188,310,20,0.525521131431707,0:43;1:1;2:1;3:69;4:65;5:9,1,69,0.005319148936170213,0.3670212765957447,69.0,0.005319148936170213,0.11666474013080622,16.95826027456115,1.5377374052871164,0.5050539828878334,0.14872498151140295,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_20,GaussianMixture,6,pd_corr_reduced_all_090|pca_20|GaussianMixture|k6,188,310,20,0.525521131431707,0:33;1:19;2:56;3:1;4:42;5:37,1,56,0.005319148936170213,0.2978723404255319,56.0,0.005319148936170213,0.06822409824057525,14.971156158634527,2.1424185038806276,0.26231330576524736,0.08357390605049138,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_20,AgglomerativeClustering,6,pd_corr_reduced_all_090|pca_20|AgglomerativeClustering|k6,188,310,20,0.525521131431707,0:77;1:9;2:1;3:70;4:30;5:1,1,77,0.005319148936170213,0.4095744680851064,77.0,0.005319148936170213,0.1126625549529687,16.125275747967518,1.5137321484916069,0.4582709681103437,0.11764782000145967,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_90,KMeans,6,pd_corr_reduced_all_090|pca_90|KMeans|k6,188,310,83,0.9018172361638108,0:57;1:8;2:35;3:42;4:1;5:45,1,57,0.005319148936170213,0.30319148936170215,57.0,0.005319148936170213,0.02007789238864532,8.499329366371288,2.6454407321514566,0.40541736206347906,0.10281378173038765,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_90,GaussianMixture,6,pd_corr_reduced_all_090|pca_90|GaussianMixture|k6,188,310,83,0.9018172361638108,0:29;1:29;2:53;3:2;4:31;5:44,2,53,0.010638297872340425,0.28191489361702127,26.5,0.010638297872340425,0.017397475744985538,6.618304533072849,3.082859069228855,0.29202672201074753,0.06620285441984064,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
pd_corr_reduced_all_090,pca_90,AgglomerativeClustering,6,pd_corr_reduced_all_090|pca_90|AgglomerativeClustering|k6,188,310,83,0.9018172361638108,0:61;1:10;2:44;3:19;4:53;5:1,1,61,0.005319148936170213,0.324468085106383,61.0,0.005319148936170213,0.006062283267328374,7.946906506681269,2.767896052121714,0.41349211914190426,0.1228643396312504,50,False,min_cluster_size < 8; not eligible for recommendation; min_cluster_ratio < 0.05; not eligible for recommendation,,,,,
