dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_only,SVM-RBF,5,fold,150,50,0.74,0.6247401247401247,0.7733887733887734,0.8648648648648649,0.38461538461538464,0.8,0.8648648648648649,0.8311688311688312
dataset1,Dataset 1,acoustic_only,Random Forest,5,fold,150,50,0.74,0.5748440748440748,0.8045738045738046,0.918918918918919,0.23076923076923078,0.7727272727272727,0.918918918918919,0.8395061728395061
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),5,fold,150,50,0.78,0.6268191268191268,0.8316008316008316,0.9459459459459459,0.3076923076923077,0.7954545454545454,0.9459459459459459,0.8641975308641975
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,5,fold,150,50,0.76,0.6632016632016633,0.8232848232848233,0.8648648648648649,0.46153846153846156,0.8205128205128205,0.8648648648648649,0.8421052631578947
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,5,fold,150,50,0.74,0.6247401247401247,0.7713097713097713,0.8648648648648649,0.38461538461538464,0.8,0.8648648648648649,0.8311688311688312
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,5,fold,150,50,0.74,0.5748440748440748,0.8004158004158004,0.918918918918919,0.23076923076923078,0.7727272727272727,0.918918918918919,0.8395061728395061
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),5,fold,150,50,0.76,0.6133056133056134,0.8232848232848232,0.918918918918919,0.3076923076923077,0.7906976744186046,0.918918918918919,0.85
dataset2,Dataset 2,acoustic_only,Logistic Regression,1,fold,48,16,0.875,0.875,0.96875,1.0,0.75,0.8,1.0,0.8888888888888888
dataset2,Dataset 2,acoustic_only,SVM-RBF,1,fold,48,16,0.9375,0.9375,1.0,0.875,1.0,1.0,0.875,0.9333333333333333
dataset2,Dataset 2,acoustic_only,Random Forest,1,fold,48,16,0.875,0.875,0.96875,0.75,1.0,1.0,0.75,0.8571428571428571
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),1,fold,48,16,0.875,0.875,0.953125,0.75,1.0,1.0,0.75,0.8571428571428571
