candidate_id,feature_set,representation,method,k,n_features_original,n_components_after_transform,cluster_sizes,min_cluster_size,min_cluster_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm,top1_count,top1_frequency,top3_count,top3_frequency
pd_corr_reduced_all_095|pca_20|KMeans|k2,pd_corr_reduced_all_095,pca_20,KMeans,2,425,20,0:98;1:90,90,0.4787234042553192,0.4787234042553192,0.1555044916994981,31.08753072020031,2.1493575730494308,0.8865146470651076,0.23590950505238656,0.2019455772898175,0.5274974550512792,0.8893082298932836,0.9574468085106383,0,0.0,0,0.0
top50_biomarkers|scaled_only|AgglomerativeClustering|k2,top50_biomarkers,scaled_only,AgglomerativeClustering,2,50,50,0:139;1:49,49,0.26063829787234044,0.26063829787234044,0.22803737973239657,49.091597870664806,1.4838663941425971,0.8858278688763999,0.42466295219242245,0.37639872420204856,0.7794059478449777,0.8885715436530279,0.5212765957446809,0,0.0,0,0.0
pd_high_iqr_top50|scaled_only|AgglomerativeClustering|k2,pd_high_iqr_top50,scaled_only,AgglomerativeClustering,2,50,50,0:157;1:31,31,0.16489361702127658,0.16489361702127658,0.4249079804369024,95.50106625607616,0.9556882655370039,0.882331606992957,0.9369823362854774,0.8260903265881143,0.9793373075997223,0.8848212090264883,0.32978723404255317,0,0.0,0,0.0
pd_corr_reduced_all_090|pca_20|KMeans|k2,pd_corr_reduced_all_090,pca_20,KMeans,2,310,20,0:72;1:116,72,0.3829787234042553,0.3829787234042553,0.1377773368411397,24.13796876470717,2.440151952818468,0.880214069188161,0.18977785804030675,0.1346067397557652,0.4174230074217462,0.8825497901176415,0.7659574468085106,0,0.0,0,0.0
pd_high_iqr_top100|pca_20|KMeans|k2,pd_high_iqr_top100,pca_20,KMeans,2,100,20,0:139;1:49,49,0.26063829787234044,0.26063829787234044,0.30471753949961117,66.0152574703183,1.3344905635349449,0.8798549521739608,0.6242089081833888,0.5403830978303579,0.8359492072312129,0.882164576132467,0.5212765957446809,0,0.0,0,0.0
top20_biomarkers|pca_10|AgglomerativeClustering|k2,top20_biomarkers,pca_10,AgglomerativeClustering,2,20,10,0:134;1:54,54,0.2872340425531915,0.2872340425531915,0.3186844381277039,82.54033119190674,1.2164596552404388,0.8777962062042596,0.66055518272732,0.700505312971804,0.8806274676709396,0.8799562214511477,0.574468085106383,0,0.0,0,0.0
pd_corr_reduced_all_090|pca_10|KMeans|k2,pd_corr_reduced_all_090,pca_10,KMeans,2,310,10,0:119;1:69,69,0.3670212765957447,0.3670212765957447,0.1913802003890687,34.89559044341045,2.0006537477772817,0.8762186352323036,0.3292694120876172,0.2388443511497333,0.5837863401398806,0.8782640086709871,0.7340425531914894,0,0.0,0,0.0
pd_corr_reduced_all_090|pca_90|KMeans|k2,pd_corr_reduced_all_090,pca_90,KMeans,2,310,83,0:119;1:69,69,0.3670212765957447,0.3670212765957447,0.07048139841521324,13.472631656428804,3.3785959019702045,0.8360901126777505,0.014652605194234078,0.03126333374258818,0.06219365458418502,0.8352193533604365,0.7340425531914894,0,0.0,0,0.0
pd_high_iqr_top50|scaled_only|GaussianMixture|k2,pd_high_iqr_top50,scaled_only,GaussianMixture,2,50,50,0:145;1:43,43,0.22872340425531915,0.22872340425531915,0.38729122763626544,100.59139616714357,1.0238008824621332,0.834105356619538,0.8390916834534218,0.8754138524551158,0.9535546267563358,0.8330903654246076,0.4574468085106383,0,0.0,0,0.0
top20_biomarkers|scaled_only|GaussianMixture|k2,top20_biomarkers,scaled_only,GaussianMixture,2,20,20,0:106;1:82,82,0.43617021276595747,0.43617021276595747,0.19083954639399167,50.360350855722395,1.7520878658332342,0.8032184121480185,0.32786245990291263,0.38869249921676086,0.6778760270735482,0.7999588720693451,0.8723404255319149,0,0.0,0,0.0
pd_high_mad_top50|scaled_only|GaussianMixture|k2,pd_high_mad_top50,scaled_only,GaussianMixture,2,50,50,0:146;1:42,42,0.22340425531914893,0.22340425531914893,0.3905370494614422,106.08773842741782,0.9962169621770818,0.79827956925781,0.8475383353780851,0.9286714967306089,0.9639959729448202,0.794661124325132,0.44680851063829785,0,0.0,0,0.0
top50_biomarkers|scaled_only|GaussianMixture|k2,top50_biomarkers,scaled_only,GaussianMixture,2,50,50,0:97;1:91,91,0.48404255319148937,0.48404255319148937,0.21037858544922258,55.09109417446801,1.6732180475574947,0.7791643107208909,0.37870920095375626,0.43453175610755135,0.7077306332328522,0.7741567632743316,0.9680851063829787,0,0.0,0,0.0
all_acoustic|pca_10|AgglomerativeClustering|k2,all_acoustic,pca_10,AgglomerativeClustering,2,752,10,0:106;1:82,82,0.43617021276595747,0.43617021276595747,0.1795549243721745,33.67698731906923,1.996756908536945,0.7563317620126595,0.2984963149160446,0.2270365108377781,0.5852614113817038,0.749664977221878,0.8723404255319149,0,0.0,0,0.0
top50_biomarkers|pca_10|GaussianMixture|k2,top50_biomarkers,pca_10,GaussianMixture,2,50,10,0:100;1:88,88,0.46808510638297873,0.46808510638297873,0.22584876337448104,58.20639546870237,1.5884119662724747,0.7503142831013444,0.4189674822721257,0.46471794180753684,0.7398322940713049,0.7432102091644709,0.9361702127659575,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_10|AgglomerativeClustering|k2,pd_corr_reduced_all_095,pca_10,AgglomerativeClustering,2,425,10,0:106;1:82,82,0.43617021276595747,0.43617021276595747,0.18323108296728435,35.67313150664851,1.9720560395056979,0.7250967531183169,0.308062838818219,0.24637845353902937,0.5946114356729005,0.7161601256627116,0.8723404255319149,0,0.0,0,0.0
pd_high_iqr_top50|pca_10|GaussianMixture|k2,pd_high_iqr_top50,pca_10,GaussianMixture,2,50,10,0:146;1:42,42,0.22340425531914893,0.22340425531914893,0.3956956949535914,102.19259680547448,1.0055800155240346,0.7248770810627309,0.8609627576729058,0.8909289295685388,0.9604517747175014,0.7159244900770454,0.44680851063829785,0,0.0,0,0.0
pd_high_iqr_top100|pca_90|AgglomerativeClustering|k2,pd_high_iqr_top100,pca_90,AgglomerativeClustering,2,100,8,0:158;1:30,30,0.1595744680851064,0.1595744680851064,0.355704383036157,64.27186789515801,1.090634673716063,0.7152081838194134,0.7568927532268619,0.5234902593878594,0.9282560200187955,0.7055529557524031,0.3191489361702128,0,0.0,0,0.0
pd_high_mad_top100|pca_10|AgglomerativeClustering|k2,pd_high_mad_top100,pca_10,AgglomerativeClustering,2,100,10,0:154;1:34,34,0.18085106382978725,0.18085106382978725,0.3251991260995963,63.65408690924657,1.1847983643750453,0.7056063911162895,0.6775084551680737,0.5175041765659004,0.8926122216610759,0.6952534024432212,0.3617021276595745,0,0.0,0,0.0
top50_biomarkers|pca_5|AgglomerativeClustering|k2,top50_biomarkers,pca_5,AgglomerativeClustering,2,50,5,0:134;1:54,54,0.2872340425531915,0.2872340425531915,0.29431155338758586,71.79715097013515,1.1733600963243724,0.6993699029999019,0.5971292509023326,0.596407634271192,0.8969419512745449,0.688563709819893,0.574468085106383,0,0.0,0,0.0
