feature,category,p_mannwhitney,q_mannwhitney,cohens_d,abs_cohens_d,cliffs_delta,abs_cliffs_delta,q_mannwhitney_scientific,subject_level_std,subject_level_unique_count,is_constant,is_near_constant,selected_folds,selection_frequency,mean_abs_l1_coefficient,l1_selected_any,l1_selected_near_constant,tree_importance_mean,tree_importance_std,permutation_importance_mean,permutation_importance_std_across_folds,permutation_importance_positive,rank_q_mannwhitney,rank_abs_cohens_d,rank_abs_cliffs_delta,rank_selection_frequency,rank_permutation_importance,rank_tree_importance,mean_rank,rank_score,included_in_top10,included_in_top20,included_in_top50
det_TKEO_mean_8_coef,Other,0.5258492216875768,0.6102447757855829,-0.112064100173341,0.112064100173341,0.05319148936170213,0.05319148936170213,6.102e-01,24288.635747088978,252,False,False,0,0.0,0.0,False,False,0.00046038892708124695,0.00018430121016412744,0.0,0.0,False,647.0,565.0,647.5,456.5,382.5,691.0,564.9166666666666,0.0017701725918277034,False,False,False
tqwt_skewnessValue_dec_19,TQWT,0.5980963677152394,0.6728444372087099,0.0582259791348521,0.0582259791348521,0.0442154255319149,0.0442154255319149,6.728e-01,0.017414387248792428,252,False,False,0,0.0,0.0,False,False,0.0007976723242545588,0.0002721774982647277,0.0,0.0,False,668.5,643.0,667.0,456.5,382.5,576.0,565.5833333333334,0.00176808604685428,False,False,False
tqwt_maxValue_dec_29,TQWT,0.733475029153432,0.7790582230556227,0.13708470151525695,0.13708470151525695,0.028590425531914893,0.028590425531914893,7.791e-01,0.2866401063765597,252,False,False,0,0.0,0.0,False,False,0.0006880891435385316,6.610955768816855e-05,0.0,0.0,False,708.0,523.0,708.0,456.5,382.5,620.0,566.3333333333334,0.0017657445556209534,False,False,False
tqwt_minValue_dec_21,TQWT,0.6615354458476217,0.7230736268567027,-0.02997751932145935,0.02997751932145935,0.03673537234042553,0.03673537234042553,7.231e-01,0.23577669980740407,252,False,False,0,0.0,0.0,False,False,0.0009676970633466078,0.00016767555146000981,0.0,0.0,False,688.0,701.0,688.0,456.5,382.5,484.0,566.6666666666666,0.0017647058823529412,False,False,False
det_entropy_log_7_coef,Wavelet,0.6161395943692186,0.6874435830350926,0.07741076023710583,0.07741076023710583,0.042054521276595744,0.042054521276595744,6.874e-01,28.58210352947254,252,False,False,0,0.0,0.0,False,False,0.0007595961808818889,0.00027544926173539804,0.0,0.0,False,674.0,623.0,674.0,456.5,382.5,591.0,566.8333333333334,0.001764187003822405,False,False,False
det_TKEO_std_8_coef,Other,0.5802969613712858,0.6587444077988772,-0.10291329396472515,0.10291329396472515,0.04637632978723404,0.04637632978723404,6.587e-01,51335.860466896396,252,False,False,0,0.0,0.0,False,False,0.0004922660281944104,0.00012357332650647047,0.0,0.0,False,663.0,575.0,662.0,456.5,382.5,680.0,569.8333333333334,0.001754899093302135,False,False,False
tqwt_TKEO_std_dec_29,TQWT,0.6701942158048759,0.7283035408746629,0.10329328738630178,0.10329328738630178,0.035738031914893616,0.035738031914893616,7.283e-01,0.14580494533163954,252,False,False,0,0.0,0.0,False,False,0.0006774498305496654,0.0002204418233045226,0.0,0.0,False,692.0,574.0,692.0,456.5,382.5,627.0,570.6666666666666,0.001752336448598131,False,False,False
det_entropy_shannon_8_coef,Wavelet,0.5721664269719853,0.6519229592165651,0.10713853382411936,0.10713853382411936,-0.04737367021276596,0.04737367021276596,6.519e-01,3575285.1071688747,252,False,False,0,0.0,0.0,False,False,0.0004277995121756431,0.00016717031598174304,0.0,0.0,False,659.5,569.0,659.5,456.5,382.5,704.0,571.8333333333334,0.0017487612940833574,False,False,False
det_TKEO_mean_1_coef,Other,0.4852461848962042,0.5755601435992832,-0.07561451961864629,0.07561451961864629,0.05851063829787234,0.05851063829787234,5.756e-01,414.051308860597,252,False,False,0,0.0,0.0,False,False,0.0004371072441298348,8.091624304812165e-05,0.0,0.0,False,634.0,625.0,634.0,456.5,382.5,700.0,572.0,0.0017482517482517483,False,False,False
tqwt_minValue_dec_29,TQWT,0.9548752656803494,0.9612666663877146,-0.12498438167547012,0.12498438167547012,0.004820478723404255,0.004820478723404255,9.613e-01,0.283886212933,252,False,False,0,0.0,0.0,False,False,0.0008223795230045397,0.0002625483868228331,0.0,0.0,False,746.5,538.0,746.5,456.5,382.5,562.0,572.0,0.0017482517482517483,False,False,False
f4,Formant / Bandwidth,0.8605191585337622,0.8888879220019081,0.03582600334329497,0.03582600334329497,0.014793882978723404,0.014793882978723404,8.889e-01,315.30769466479046,252,False,False,0,0.0,0.0,False,False,0.0010165681268221476,0.00024187683958789002,0.0,0.0,False,726.5,689.0,727.5,456.5,382.5,452.0,572.3333333333334,0.0017472335468841,False,False,False
tqwt_TKEO_std_dec_30,TQWT,0.48897921593902816,0.5772564684240961,0.01686278824823288,0.01686278824823288,-0.058011968085106384,0.058011968085106384,5.773e-01,0.048674732864007815,252,False,False,0,0.0,0.0,False,False,0.0007355714801724124,0.00011618545259568891,0.0,0.0,False,636.5,722.0,636.5,456.5,382.5,600.0,572.3333333333334,0.0017472335468841,False,False,False
tqwt_skewnessValue_dec_5,TQWT,0.3948970101862098,0.48579577280587793,-0.0035426208107736433,0.0035426208107736433,-0.07130984042553191,0.07130984042553191,4.858e-01,0.05883217930980855,252,False,False,0,0.0,0.0,False,False,0.0006689068945542184,0.00014937959293493056,0.0,0.0,False,612.0,747.0,611.0,456.5,382.5,631.0,573.3333333333334,0.0017441860465116279,False,False,False
det_LT_entropy_shannon_8_coef,Wavelet,0.396001075438834,0.48579577280587793,0.005454339629785134,0.005454339629785134,0.0711436170212766,0.0711436170212766,4.858e-01,35.79236447743952,252,False,False,0,0.0,0.0,False,False,0.0006603606161924785,0.00034666950723138664,0.0,0.0,False,612.0,743.0,612.5,456.5,382.5,637.0,573.9166666666666,0.0017424132423406419,False,False,False
mean_6th_delta_delta,Delta / Delta-delta,0.9517123596906064,0.9606546234729342,0.02513266774974001,0.02513266774974001,-0.005152925531914893,0.005152925531914893,9.607e-01,0.00028144697559633514,252,False,False,0,0.0,0.0,False,False,0.001087807896924116,0.0002411706304423368,0.0,0.0,False,745.0,706.0,745.0,456.5,382.5,410.0,574.1666666666666,0.0017416545718432512,False,False,False
tqwt_minValue_dec_30,TQWT,0.5245545895819048,0.6102447757855829,0.03131768339046094,0.03131768339046094,0.053357712765957445,0.053357712765957445,6.102e-01,0.17457345753800785,252,False,False,0,0.0,0.0,False,False,0.0006775288086090874,0.00021811951107165254,0.0,0.0,False,647.0,698.0,646.0,456.5,382.5,626.0,576.0,0.001736111111111111,False,False,False
tqwt_stdValue_dec_30,TQWT,0.5816572962479447,0.6587444077988772,-0.041364241219211874,0.041364241219211874,-0.046210106382978726,0.046210106382978726,6.587e-01,0.0644834012954054,252,False,False,0,0.0,0.0,False,False,0.0007025410127900506,9.497042420666268e-05,0.0,0.0,False,663.0,675.0,664.0,456.5,382.5,616.0,576.1666666666666,0.0017356089094590686,False,False,False
tqwt_medianValue_dec_23,TQWT,0.9201333072481498,0.9337925061411722,-0.011893517533339535,0.011893517533339535,-0.008477393617021276,0.008477393617021276,9.338e-01,0.001159649610607169,252,False,False,0,0.0,0.0,False,False,0.0010423340667581292,0.000470036910636641,0.0,0.0,False,741.0,731.0,741.0,456.5,382.5,430.0,580.3333333333334,0.001723147616312464,False,False,False
det_entropy_log_10_coef,Wavelet,0.6673030160071637,0.7262110970150321,0.04612310506086065,0.04612310506086065,0.036070478723404256,0.036070478723404256,7.262e-01,30.111477148492185,252,False,False,0,0.0,0.0,False,False,0.0007324300257763853,0.00023687841784222785,0.0,0.0,False,690.5,670.0,690.5,456.5,382.5,603.0,582.1666666666666,0.0017177211565989122,False,False,False
tqwt_meanValue_dec_8,TQWT,0.7023120414903694,0.7544837931439397,-0.14049086464193064,0.14049086464193064,-0.0320811170212766,0.0320811170212766,7.545e-01,1.5750576514552318e-20,252,False,True,0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,False,700.0,519.0,700.0,456.5,382.5,735.0,582.1666666666666,0.0017177211565989122,False,False,False
det_TKEO_std_1_coef,Other,0.5349571586751589,0.6179535842146229,-0.04437859463951202,0.04437859463951202,0.0520279255319149,0.0520279255319149,6.180e-01,1377.2916541503412,252,False,False,0,0.0,0.0,False,False,0.00046846944657461524,0.00011181381221560821,0.0,0.0,False,651.0,673.0,650.0,456.5,382.5,687.0,583.3333333333334,0.0017142857142857142,False,False,False
tqwt_meanValue_dec_27,TQWT,0.5994754881414741,0.6728444372087099,0.09460187719807645,0.09460187719807645,0.04404920212765957,0.04404920212765957,6.728e-01,1.6521278480075777e-18,250,False,True,0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,False,668.5,589.0,669.0,456.5,382.5,735.0,583.4166666666666,0.0017140408513069564,False,False,False
tqwt_meanValue_dec_26,TQWT,0.4889789715462456,0.5772564684240961,-0.05221448668295148,0.05221448668295148,-0.058011968085106384,0.058011968085106384,5.773e-01,1.1767716787642037e-18,249,False,True,0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,False,636.5,658.0,636.5,456.5,382.5,735.0,584.1666666666666,0.0017118402282453639,False,False,False
