run,weight_silhouette,weight_calinski_harabasz,weight_davies_bouldin,weight_stability_ari,weight_balance,top1_candidate_id,top1_feature_set,top1_representation,top1_method,top1_score
4866,0.12280717391651352,0.43985450532677656,0.04025055345940426,0.30026677706434934,0.09682099023295647,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6430826435440273
4867,0.15810567323138253,0.45622601646948646,0.17437812555024426,0.16638434620839032,0.04490583854049622,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8073409610285532
4868,0.2923300286721739,0.10348841272920244,0.08044100852032215,0.24816930740707202,0.2755712426712295,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5905921995406129
4869,0.07720078671428335,0.024836347919546725,0.0647834057590931,0.09765159919446821,0.7355278604126085,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.47198635481943096
4870,0.16958293836740962,0.2072933414105142,0.14270418533190563,0.22205150067031165,0.258368034219859,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6267757133499837
4871,0.14468021542999282,0.2917285799550424,0.1824852610327649,0.1853450381676064,0.19576090541459357,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.7001140065366209
4872,0.19883696960568428,0.08126277878942724,0.0072937985573741015,0.3871922235468006,0.3254142295007137,all_acoustic|pca_90|GaussianMixture|k6,all_acoustic,pca_90,GaussianMixture,0.5325900707705238
4873,0.20531594382319257,0.20885455010945028,0.24576366102446773,0.31513065520208333,0.02493518984080611,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.6702796060612747
4874,0.26907112015481094,0.030144275376826096,0.4786811060449741,0.039061678849494214,0.18304181957389473,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.8538393841657802
4875,0.03229582760456151,0.2707517334490576,0.03286264472967048,0.16382232936087304,0.5002674648558374,top20_biomarkers|pca_5|AgglomerativeClustering|k6,top20_biomarkers,pca_5,AgglomerativeClustering,0.5434679837553924
