dataset,dataset_display_name,feature_set,model,level,fold,summary,tn,fp,fn,tp
dataset2,Dataset 2,acoustic_only,Logistic Regression,subject,2,fold,7,1,0,8
dataset2,Dataset 2,acoustic_only,SVM-RBF,record,2,fold,20,4,4,20
dataset2,Dataset 2,acoustic_only,SVM-RBF,subject,2,fold,7,1,2,6
dataset2,Dataset 2,acoustic_only,Random Forest,record,2,fold,20,4,6,18
dataset2,Dataset 2,acoustic_only,Random Forest,subject,2,fold,7,1,2,6
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),record,2,fold,20,4,3,21
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),subject,2,fold,7,1,2,6
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,record,2,fold,20,4,12,12
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,subject,2,fold,7,1,4,4
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,record,2,fold,20,4,6,18
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,subject,2,fold,7,1,2,6
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,record,2,fold,20,4,6,18
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,subject,2,fold,7,1,3,5
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),record,2,fold,20,4,7,17
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),subject,2,fold,7,1,3,5
dataset2,Dataset 2,acoustic_only,Logistic Regression,record,3,fold,18,6,6,18
dataset2,Dataset 2,acoustic_only,Logistic Regression,subject,3,fold,5,3,2,6
dataset2,Dataset 2,acoustic_only,SVM-RBF,record,3,fold,18,6,7,17
dataset2,Dataset 2,acoustic_only,SVM-RBF,subject,3,fold,6,2,3,5
dataset2,Dataset 2,acoustic_only,Random Forest,record,3,fold,19,5,7,17
dataset2,Dataset 2,acoustic_only,Random Forest,subject,3,fold,6,2,3,5
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),record,3,fold,18,6,8,16
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),subject,3,fold,6,2,3,5
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,record,3,fold,16,8,4,20
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,subject,3,fold,5,3,1,7
