feature,category,selected_folds,selection_frequency,mean_abs_l1_coefficient,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,l1_selected_any,l1_selected_near_constant
tqwt_medianValue_dec_8,TQWT,2,0.4,0.047334039331255864,1.427161239380174e-05,250,0,False,False,True,False
tqwt_skewnessValue_dec_12,TQWT,2,0.4,0.047004962607396776,0.02358430477211904,252,0,False,False,True,False
tqwt_medianValue_dec_7,TQWT,2,0.4,0.04600800660334855,1.3091522495184385e-05,252,0,False,False,True,False
tqwt_skewnessValue_dec_9,TQWT,2,0.4,0.0444421134288643,0.07108983680304838,252,0,False,False,True,False
IMF_NSR_TKEO,Other,2,0.4,0.04190928349599234,8.069920087947933,252,0,False,False,True,False
tqwt_minValue_dec_12,TQWT,2,0.4,0.04022710671032005,0.08771895730578913,252,0,False,False,True,False
tqwt_kurtosisValue_dec_20,TQWT,2,0.4,0.03716971567417836,0.7375061873366606,250,0,False,False,True,False
tqwt_entropy_shannon_dec_23,TQWT,2,0.4,0.036598271248577285,151.16310041727976,252,0,False,False,True,False
tqwt_medianValue_dec_6,TQWT,2,0.4,0.03574078845476046,8.69080043396495e-06,251,0,False,False,True,False
tqwt_medianValue_dec_2,TQWT,2,0.4,0.03410837117022571,2.235990351654676e-06,252,0,False,False,True,False
tqwt_kurtosisValue_dec_36,TQWT,2,0.4,0.032172787088052254,29.402826898739306,252,0,False,False,True,False
VFER_SNR_SEO,Other,2,0.4,0.03184830027563405,231.88506807905472,252,0,False,False,True,False
std_8th_delta,Delta / Delta-delta,2,0.4,0.03160554422102044,0.009980204270499638,252,0,False,False,True,False
det_TKEO_mean_5_coef,Other,2,0.4,0.023028589807258894,2115.2177307129255,252,0,False,False,True,False
tqwt_meanValue_dec_15,TQWT,2,0.4,0.022663136794212602,4.1322424412978595e-19,252,0,False,True,True,True
mean_MFCC_2nd_coef,MFCC,2,0.4,0.01911750936349831,1.6008244386502515,251,0,False,False,True,False
tqwt_skewnessValue_dec_27,TQWT,2,0.4,0.018523127574527155,0.9634290935928078,252,0,False,False,True,False
tqwt_meanValue_dec_4,TQWT,2,0.4,0.017561981296310505,4.684072241903329e-21,251,0,False,True,True,True
mean_8th_delta_delta,Delta / Delta-delta,2,0.4,0.015421413913023855,0.00020534225606019718,252,0,False,False,True,False
mean_MFCC_1st_coef,MFCC,2,0.4,0.013770079024951315,1.555992102832819,252,0,False,False,True,False
tqwt_meanValue_dec_19,TQWT,2,0.4,0.01343653905989009,9.57762728915303e-19,251,0,False,True,True,True
std_7th_delta,Delta / Delta-delta,1,0.2,0.11167343111053625,0.011828916751884024,252,0,False,False,True,False
tqwt_skewnessValue_dec_4,TQWT,1,0.2,0.10907198833147935,1.0962446513904507,252,0,False,False,True,False
std_6th_delta,Delta / Delta-delta,1,0.2,0.0990142997366266,0.01316788492577514,252,0,False,False,True,False
tqwt_maxValue_dec_24,TQWT,1,0.2,0.09712743857006946,0.4441276966307492,252,0,False,False,True,False
tqwt_kurtosisValue_dec_21,TQWT,1,0.2,0.06872917920569799,0.6669396793436599,252,0,False,False,True,False
